基因	关系	基因
MEF2A	起调控作用	TF
CXCL1	起调控作用	GDF15
JUN	起调控作用	PRKCQ
SOD1	起调控作用	PTGS2
TPI1	起调控作用	TXNRD1
RAD51	起调控作用	TYMS
KRAS	起调控作用	CDKN3
GCK	起调控作用	PRKCQ
STAT3	起调控作用	CAT
MAP2K4	起调控作用	MIF
DLD	起调控作用	NAMPT
WT1	起调控作用	CDK4
PNP	起调控作用	APEX1
AKR1C1	起调控作用	ERBB3
THBS1	起调控作用	SPP1
CA2	起调控作用	G6PD
TLR4	起调控作用	GDF15
IMPDH1	起调控作用	PAK1
TXNIP	起调控作用	GDF15
NME1	起调控作用	PFKL
UROD	起调控作用	TYMS
FGF2	起调控作用	XBP1
NR1H2	起调控作用	SLC7A5
PRKAR1A	起调控作用	SPR
ICAM1	起调控作用	APEX1
PGK1	起调控作用	CDK6
SAT1	起调控作用	HSPB1
E2F1	起调控作用	AKT1
DTNA	起调控作用	PFN1
KIF11	起调控作用	CDH1
CDC25B	起调控作用	SERPINA3
GPI	起调控作用	GJA1
PPARD	起调控作用	PLIN2
HPGD	起调控作用	TBXA2R
IRS1	起调控作用	HSPB1
PTCH1	起调控作用	SPR
CTPS1	起调控作用	NME1
NR1H4	起调控作用	AXIN1
KRAS	起调控作用	TF
GFRA1	起调控作用	GNAI1
GRB2	起调控作用	TOP2A
CS	起调控作用	GAA
BIK	起调控作用	PCNA
TP53	起调控作用	TPM1
CDC25A	起调控作用	CDC20
FGFR1	起调控作用	CDC20
GAA	起调控作用	CCND3
VHL	起调控作用	GCH1
ABL1	起调控作用	ST3GAL5
BRAF	起调控作用	TF
IGFBP2	起调控作用	AKR1B1
SOAT1	起调控作用	TXNRD1
CXCL1	起调控作用	LIG1
IGFBP2	起调控作用	HSPB1
SRC	起调控作用	VIM
CREB1	起调控作用	CEBPB
CTNNA1	起调控作用	LGALS1
GAA	起调控作用	ERBB3
NR1H2	起调控作用	HSD17B10
VIM	起调控作用	PCNA
CDK6	起调控作用	CCL2
MYC	起调控作用	CSRP1
IL18	起调控作用	NSDHL
TNFRSF11A	起调控作用	TPM1
PIK3R1	起调控作用	PENK
HOXA9	起调控作用	IGFBP3
KRT19	起调控作用	PFN1
CDH11	起调控作用	CRYZ
FGFR3	起调控作用	PAK1
SOX3	起调控作用	GALE
BID	起调控作用	FGFR2
MAT1A	起调控作用	CDKN1B
TLR2	起调控作用	PCNA
DAXX	起调控作用	SRC
MAPK3	起调控作用	HSPB1
EIF4EBP1	起调控作用	PHGDH
BATF3	起调控作用	CEBPB
CDKN2A	起调控作用	DLD
PTK2	起调控作用	IDS
HSD17B10	起调控作用	APRT
FGB	起调控作用	TLR4
CA12	起调控作用	GRN
KCNQ1	起调控作用	YBX3
AKR1C3	起调控作用	HP
PIK3R1	起调控作用	MAPK13
RPIA	起调控作用	LGALS1
SERPINA7	起调控作用	SERPINA3
TIRAP	起调控作用	CCL2
BCL2A1	起调控作用	LGALS1
LIG1	起调控作用	BCL2A1
CASK	起调控作用	IGF2R
IFNAR2	起调控作用	BLVRA
CES2	起调控作用	SPR
RAD51	起调控作用	CCNA2
SOX3	起调控作用	CEBPB
TGFB1	起调控作用	VIM
FAS	起调控作用	CDH1
PIK3R1	起调控作用	TIMP1
NT5E	起调控作用	FABP5
COMT	起调控作用	SREBF1
CASP6	起调控作用	YBX3
MAP2K1	起调控作用	HMGCR
EBP	起调控作用	COG2
MITF	起调控作用	CEBPB
HRAS	起调控作用	HSD17B10
GRN	起调控作用	GPX1
SERPINA1	起调控作用	BAG3
PPARGC1A	起调控作用	RPIA
HADH	起调控作用	VIM
ACLY	起调控作用	TGFB2
MYD88	起调控作用	KIT
KDR	起调控作用	VIM
JUN	起调控作用	PFN1
ABCB5	起调控作用	ERBB2
MAP2K5	起调控作用	XBP1
TUBB3	起调控作用	PCNA
HMGCR	起调控作用	LGALS1
AURKA	起调控作用	CDC20
PIK3R1	起调控作用	LGALS1
CDK6	起调控作用	CDC25B
DNMT1	起调控作用	ELOVL6
TSC22D3	起调控作用	TYMS
ATP2A2	起调控作用	CXCR4
AURKA	起调控作用	SERPINA1
APOE	起调控作用	SLC22A5
F3	起调控作用	TUBA1A
UGT1A1	起调控作用	NME1
PC	起调控作用	PSMB8
ARF1	起调控作用	NME1
WT1	起调控作用	TOP2A
NEU1	起调控作用	BAG3
BIRC5	起调控作用	PNP
PRKCZ	起调控作用	PNP
PLOD1	起调控作用	SPP1
SIN3A	起调控作用	ALAS1
DLD	起调控作用	PBK
AURKA	起调控作用	TXNRD1
TPI1	起调控作用	TOP2A
EIF4EBP1	起调控作用	FAH
GYG1	起调控作用	TPI1
CD83	起调控作用	BAG3
GNAI1	起调控作用	NOS3
EGR1	起调控作用	POLA1
ELK1	起调控作用	RPIA
SLC1A5	起调控作用	MMP2
AHR	起调控作用	SOD2
BTK	起调控作用	TUBA1A
ESR2	起调控作用	AKT1
SUCLG1	起调控作用	HSPB1
ST14	起调控作用	ADRB2
AOC3	起调控作用	CDC20
PRKACA	起调控作用	SLC1A4
SPTLC1	起调控作用	CDC25B
SCNN1A	起调控作用	CHEK2
PLAT	起调控作用	SPDEF
SAT1	起调控作用	CYCS
ZNF595	起调控作用	CHEK2
PDPK1	起调控作用	ECHS1
HMGB1	起调控作用	SNCA
KISS1R	起调控作用	TLR4
PSEN2	起调控作用	CD83
PROC	起调控作用	TOP2A
PAX8	起调控作用	CDK2
SLC6A8	起调控作用	SPR
ITPR1	起调控作用	PAK1
NFE2L2	起调控作用	ME1
SMAD2	起调控作用	ECHS1
FLT3	起调控作用	SPP1
GADD45A	起调控作用	RPIA
XBP1	起调控作用	NRAS
CDKN1A	起调控作用	AXIN1
POLR2F	起调控作用	SERPINA3
PFKL	起调控作用	PFN1
TNFRSF1A	起调控作用	ICAM1
HDAC1	起调控作用	STAT1
NRAS	起调控作用	GDF15
MYD88	起调控作用	SNAP25
SUCLG1	起调控作用	PTPN1
RPS19	起调控作用	CCNB1
PAX8	起调控作用	VIM
CDK2	起调控作用	CCND3
PPOX	起调控作用	MGP
NRG1	起调控作用	GNAI1
MTOR	起调控作用	TPI1
SOD2	起调控作用	PCBD1
GOT1	起调控作用	GAA
SLC7A9	起调控作用	CDC20
ACSL1	起调控作用	SLC1A4
PSEN1	起调控作用	MADD
PRDX5	起调控作用	MIF
DNMT1	起调控作用	PROS1
MAPK3	起调控作用	CYP1B1
SCN9A	起调控作用	CDK5R1
VHL	起调控作用	CDC20
NR3C1	起调控作用	MIF
RB1	起调控作用	LGALS1
EPOR	起调控作用	SLC38A2
AKR1C2	起调控作用	ICAM1
GNAS	起调控作用	ST3GAL5
HDAC6	起调控作用	PTK2B
CBS	起调控作用	ECHS1
HDAC6	起调控作用	AKR1B1
GLUD1	起调控作用	SCARB1
PLAU	起调控作用	HSD17B10
CAT	起调控作用	AXIN1
STAT5B	起调控作用	PYCR1
NRG1	起调控作用	TUFM
JUNB	起调控作用	LPL
EGLN1	起调控作用	HK1
CYCS	起调控作用	CFB
HMGB1	起调控作用	KIT
PIK3R1	起调控作用	ASS1
XRCC4	起调控作用	IGFBP7
CALM1	起调控作用	KIF11
LDHA	起调控作用	VEGFA
CTDSP1	起调控作用	CDC20
CD14	起调控作用	CSRP1
STAT1	起调控作用	AKT1
IGF1	起调控作用	GALE
FDPS	起调控作用	CAST
HRAS	起调控作用	ICAM1
NPTN	起调控作用	IKBKB
GADD45A	起调控作用	HSD17B10
FAS	起调控作用	PFN1
GNAS	起调控作用	AKT1
DIABLO	起调控作用	HSD17B10
IRF4	起调控作用	CDC20
EDN1	起调控作用	LPL
KDR	起调控作用	YBX3
ELK1	起调控作用	PYCR1
CD40	起调控作用	CXCL1
AKR1B1	起调控作用	ACAT1
SGK3	起调控作用	TPI1
EDN1	起调控作用	TF
ACO2	起调控作用	TOP2A
FN1	起调控作用	CTSG
POLB	起调控作用	MMP1
MYC	起调控作用	FABP5
TIMP2	起调控作用	PTPN1
PLA2G2A	起调控作用	SELL
PAK1	起调控作用	ACLY
F2R	起调控作用	CYCS
PTK7	起调控作用	FAS
RPS19	起调控作用	EBP
LCK	起调控作用	PLSCR1
GLI3	起调控作用	GPI
ABCG5	起调控作用	PLIN2
ABCC2	起调控作用	GDF15
KCNN4	起调控作用	NFKBIA
SREBF2	起调控作用	SDHB
STAT1	起调控作用	PPARD
AURKA	起调控作用	PPARD
SRC	起调控作用	CCL2
CCNG1	起调控作用	CDC20
TTR	起调控作用	TUBA4A
HADH	起调控作用	AMD1
LIG1	起调控作用	AKT1
PGF	起调控作用	CSRP1
FGA	起调控作用	CEBPB
ICAM1	起调控作用	HMOX1
FECH	起调控作用	PRKCQ
EPCAM	起调控作用	ADAM10
CDC20	起调控作用	CHEK2
DAXX	起调控作用	IL1B
MDM2	起调控作用	ADRB2
CAV1	起调控作用	HBB
IKBKG	起调控作用	PRKAG2
CDKN1B	起调控作用	SLC25A4
STAT1	起调控作用	FOS
DAXX	起调控作用	BAX
STAT1	起调控作用	CDC20
HSF1	起调控作用	SPR
CYB5R3	起调控作用	ASS1
SCNN1A	起调控作用	DLD
TIMP1	起调控作用	TUBA1A
JAK1	起调控作用	BTK
PLAT	起调控作用	NAGLU
AHR	起调控作用	F12
DHCR7	起调控作用	NME1
CDKN1A	起调控作用	GDF15
KRAS	起调控作用	NME1
ESR1	起调控作用	CDC20
CASP6	起调控作用	EPCAM
LCK	起调控作用	PNP
APRT	起调控作用	PCBD1
IL2RB	起调控作用	KIT
SERPINA6	起调控作用	VEGFA
MEN1	起调控作用	CRYZ
UROD	起调控作用	TUBA4A
DNMT1	起调控作用	HSD17B10
CBS	起调控作用	PPARG
ABAT	起调控作用	GALE
GLUL	起调控作用	HP
BCL2L1	起调控作用	TUBA1A
COMT	起调控作用	DLD
FAS	起调控作用	CDK4
SCN9A	起调控作用	GJA1
ARG2	起调控作用	PRKCQ
TH	起调控作用	PCNA
ERBB3	起调控作用	MIF
CYP1A1	起调控作用	NME1
CALR	起调控作用	HADH
RFXANK	起调控作用	CCND3
GYG1	起调控作用	TXNRD1
PLOD2	起调控作用	TXNRD1
SPDEF	起调控作用	STXBP2
ERBB3	起调控作用	GDF15
SMAD4	起调控作用	RPIA
PRKDC	起调控作用	ME1
MCL1	起调控作用	VEGFA
ATM	起调控作用	HSD17B10
SMAD2	起调控作用	DIABLO
ACO2	起调控作用	NRIP1
EBP	起调控作用	PHGDH
CTSK	起调控作用	ACO2
KLF5	起调控作用	GADD45A
NRP1	起调控作用	CDK5
EGR1	起调控作用	NFATC1
EGFR	起调控作用	CCL2
THBS1	起调控作用	SERPINA3
GPR4	起调控作用	RB1
CTNNA1	起调控作用	HIF1A
PRKAR2B	起调控作用	ANKMY2
PHYH	起调控作用	TGFB3
NR2F2	起调控作用	LIG1
HDAC1	起调控作用	VIM
RPS6	起调控作用	LGALS1
HADH	起调控作用	HSPD1
WT1	起调控作用	CXCL2
BRAF	起调控作用	HLA-DRA
ERBB2	起调控作用	CSRP1
RPS6	起调控作用	TGFB2
NR1H4	起调控作用	SLC7A5
AFG3L2	起调控作用	PRKAG2
IL13	起调控作用	PLIN2
THBD	起调控作用	KDM5D
ERBB3	起调控作用	GNAS
AKR1B1	起调控作用	SNCA
P4HB	起调控作用	MT2A
GLUL	起调控作用	MIF
CDK2	起调控作用	LPL
CDK6	起调控作用	PRKCQ
CAT	起调控作用	PHYH
PRKAR2B	起调控作用	TPI1
CCND1	起调控作用	NME1
BIRC5	起调控作用	CYCS
SLC25A15	起调控作用	EIF4EBP1
DLD	起调控作用	LPL
PCK1	起调控作用	ASS1
SLC25A1	起调控作用	RPIA
IFNG	起调控作用	HLA-B
SERPINC1	起调控作用	NOS3
HADH	起调控作用	MIF
IGF1R	起调控作用	PFN1
NR3C1	起调控作用	PAK1
AKT2	起调控作用	PCNA
BTK	起调控作用	KIT
ACACA	起调控作用	ADRB2
EP300	起调控作用	SLC25A4
IKBKB	起调控作用	TUBA1A
PSAP	起调控作用	CEBPB
HK1	起调控作用	ACLY
IGF2R	起调控作用	CASP3
CAMKK2	起调控作用	TF
TUBB2A	起调控作用	PBK
LAMB1	起调控作用	CYP1B1
GGT1	起调控作用	CDC25B
PLAU	起调控作用	KRT7
ARG1	起调控作用	LPL
JAK1	起调控作用	VIM
CASP3	起调控作用	RET
ERBB3	起调控作用	NFATC3
GPR35	起调控作用	MGP
XIAP	起调控作用	PRKCQ
CTNNB1	起调控作用	SPP1
C1QA	起调控作用	HSPA5
NT5E	起调控作用	ASL
CYCS	起调控作用	TFF1
ALDH7A1	起调控作用	PLSCR1
KRAS	起调控作用	GNAS
RARB	起调控作用	SERPINA3
VDAC1	起调控作用	RBP4
IGF1R	起调控作用	TPI1
APP	起调控作用	BRCA1
IL6ST	起调控作用	SERPINA1
FKBP1A	起调控作用	HP
HSP90AA1	起调控作用	CRYZ
ADAM17	起调控作用	PFN1
AURKB	起调控作用	TLR4
EBP	起调控作用	TYMS
NFE2L2	起调控作用	EGF
TRAF1	起调控作用	PCNA
BRAF	起调控作用	MYC
GADD45A	起调控作用	TOP2A
NPSR1	起调控作用	GJA1
ACTB	起调控作用	HSPB1
GLUD1	起调控作用	GNAS
NR4A1	起调控作用	ADRB2
GPBAR1	起调控作用	SNAP25
XIAP	起调控作用	TPI1
ARRB1	起调控作用	VDAC1
ACTN1	起调控作用	KEAP1
NDUFA2	起调控作用	PCNA
SCN9A	起调控作用	TYMS
CDKN1B	起调控作用	BAG3
JAK1	起调控作用	CDC20
CCND3	起调控作用	HSPD1
HRAS	起调控作用	CDK6
KISS1R	起调控作用	ST3GAL5
KEAP1	起调控作用	AKR1C1
MAOB	起调控作用	GNAI1
CFTR	起调控作用	KIF11
IL18	起调控作用	TXNRD1
ADCY5	起调控作用	PCNA
AKR1B1	起调控作用	CXCR4
FLT1	起调控作用	SERPINA3
IGF2R	起调控作用	PRKCQ
TNFRSF10B	起调控作用	HSPB1
F2R	起调控作用	C5
DHCR7	起调控作用	BAG3
MAPK8	起调控作用	SELL
GPX4	起调控作用	MMP1
NR2F2	起调控作用	NME1
PAH	起调控作用	ASS1
FGFR2	起调控作用	TLR4
KIF11	起调控作用	TUBA4A
MEN1	起调控作用	GNAS
NT5C2	起调控作用	KIT
ATM	起调控作用	PCNA
PIK3C2A	起调控作用	TIMP1
BLVRA	起调控作用	KRT19
BLVRA	起调控作用	FABP5
KEAP1	起调控作用	PSIP1
POLG	起调控作用	CAST
SCARB1	起调控作用	DLD
HRH1	起调控作用	CDK4
TGM2	起调控作用	RPIA
CDKN2A	起调控作用	CDC20
CENPE	起调控作用	PCBD1
PPARA	起调控作用	DARS2
CDK12	起调控作用	CYCS
KDR	起调控作用	TYMS
KISS1R	起调控作用	CDK6
GABBR1	起调控作用	CRYZ
SDHD	起调控作用	MYB
AKR1B1	起调控作用	PLK1
RAD51	起调控作用	PLK1
NPM1	起调控作用	HADH
WRN	起调控作用	TBXA2R
GLUL	起调控作用	GDF15
NQO2	起调控作用	PYCR1
TGFBR1	起调控作用	IGF2R
PDPK1	起调控作用	MIF
PPIB	起调控作用	PRKACA
AKR1B1	起调控作用	EIF4EBP1
SCN9A	起调控作用	TOP2A
CREB1	起调控作用	FN1
SPR	起调控作用	NME1
VIM	起调控作用	RHOA
DAXX	起调控作用	MT2A
KLF10	起调控作用	FN1
NOX1	起调控作用	PCNA
SMAD2	起调控作用	TUBA1A
PRKDC	起调控作用	MYC
TEK	起调控作用	FAS
SNCA	起调控作用	GJA1
CDK2	起调控作用	GJA1
PRKCE	起调控作用	PLIN2
HMGCR	起调控作用	IGFBP7
NME1	起调控作用	SLC7A5
LDLR	起调控作用	GNAS
IFNGR2	起调控作用	EIF4EBP1
FYN	起调控作用	HP
NTRK2	起调控作用	HK1
CPT1A	起调控作用	GJA1
SDHA	起调控作用	ST3GAL5
HK1	起调控作用	BIRC5
MAOB	起调控作用	BTK
MITF	起调控作用	FABP5
NR3C1	起调控作用	LGALS1
IL2RB	起调控作用	VCL
CAT	起调控作用	PARP6
FLT4	起调控作用	TF
GAPDH	起调控作用	LGALS1
IRF4	起调控作用	MIF
SGK1	起调控作用	CDK4
MET	起调控作用	BAG3
CFLAR	起调控作用	TGFBR2
RXRA	起调控作用	TYMS
HRH1	起调控作用	CDKN1A
RXRA	起调控作用	NME1
NT5E	起调控作用	IKBKB
HMGCR	起调控作用	GALE
PHYH	起调控作用	TYMS
F3	起调控作用	HP
B3GAT3	起调控作用	NME1
PPARGC1A	起调控作用	CDC20
CCND1	起调控作用	CDKN1A
ESR1	起调控作用	NR3C1
VCAN	起调控作用	PHGDH
HSPA5	起调控作用	XBP1
RFC2	起调控作用	GTF2IRD1
SMAD2	起调控作用	TBXA2R
IL1B	起调控作用	PCBD1
ATXN3	起调控作用	RPIA
DLD	起调控作用	CTNS
SOX10	起调控作用	PSMG1
MEF2A	起调控作用	CCL2
HMGCL	起调控作用	HSD17B10
CTLA4	起调控作用	SGK1
SLC25A1	起调控作用	APEX1
GLI3	起调控作用	CDC20
BCL2A1	起调控作用	ITGB1
NKX2-5	起调控作用	NME1
RAF1	起调控作用	TOP2B
RAF1	起调控作用	CTSF
ATXN3	起调控作用	SELL
PDPK1	起调控作用	TPI1
LIG1	起调控作用	MIF
KRT19	起调控作用	GDF15
DTNA	起调控作用	IL1B
SLC9A1	起调控作用	PFN1
KIT	起调控作用	CCL2
ANXA5	起调控作用	TF
MAPK13	起调控作用	CXCL2
NSDHL	起调控作用	CNN3
IRF5	起调控作用	SPR
TF	起调控作用	NME1
TXNRD1	起调控作用	NOTCH2
CES2	起调控作用	HEXB
HDAC6	起调控作用	GLI2
PTK2B	起调控作用	RHOA
KLF5	起调控作用	CAPN2
PTDSS1	起调控作用	SERPINA3
OXCT1	起调控作用	PCNA
MAP2K5	起调控作用	VIM
TBXA2R	起调控作用	STXBP2
ERBB3	起调控作用	CES1
GSK3B	起调控作用	SELL
GSTM2	起调控作用	SLC2A1
IRS1	起调控作用	RGS2
KCNJ11	起调控作用	ST3GAL5
SMARCA4	起调控作用	TFF1
ALB	起调控作用	TUBA4A
IL13	起调控作用	FDPS
NOS3	起调控作用	PYCR1
HRAS	起调控作用	CDC20
IGF2R	起调控作用	BAD
SLC38A2	起调控作用	CDK6
PSMB8	起调控作用	GDF15
NRXN1	起调控作用	TF
SMAD7	起调控作用	PCCB
CDKN1B	起调控作用	CDC25B
STK39	起调控作用	GNAI1
CD83	起调控作用	PARP4
NRP1	起调控作用	TFPI2
ZNF202	起调控作用	TYMS
ERBB4	起调控作用	CDC25B
NDUFV1	起调控作用	TUBA1A
IGFBP3	起调控作用	VEGFA
CTSK	起调控作用	NT5E
JUN	起调控作用	BAG3
NFKBIA	起调控作用	IER5
MTOR	起调控作用	HSPD1
PIK3R1	起调控作用	SLC9A1
ASL	起调控作用	CDC25A
RHOA	起调控作用	CYCS
KIF11	起调控作用	GSS
FGFR3	起调控作用	BIRC5
SDHA	起调控作用	CNP
HK1	起调控作用	PIK3C2A
TIRAP	起调控作用	CXCL2
MYC	起调控作用	MIF
KRT19	起调控作用	SYK
SLC1A4	起调控作用	GAA
SYK	起调控作用	VEGFA
RARA	起调控作用	CEBPB
RAF1	起调控作用	NFKB2
RHOA	起调控作用	HPRT1
AK1	起调控作用	CHEK2
LGALS1	起调控作用	TFPI2
TTR	起调控作用	PCNA
TP53	起调控作用	SRC
CDKN1B	起调控作用	ITGB2
GNA12	起调控作用	HMGCR
AKT2	起调控作用	TYMS
HNF4A	起调控作用	TYMS
RAF1	起调控作用	EIF4EBP1
PSAP	起调控作用	FGFR3
DIABLO	起调控作用	TUBA1A
RPS19	起调控作用	NQO1
IL18	起调控作用	TLR4
IFNG	起调控作用	SDHB
BAG3	起调控作用	KEAP1
SFN	起调控作用	VIM
JUNB	起调控作用	SLC25A4
SPP1	起调控作用	TOP2A
PTPN1	起调控作用	MAN1B1
AKR1B1	起调控作用	CDK5R1
CD83	起调控作用	DLD
MAT1A	起调控作用	PYCR1
NCOA1	起调控作用	EPHB2
HDAC1	起调控作用	SERPINE1
EGFR	起调控作用	SLC1A4
HADH	起调控作用	PEBP1
PYGO1	起调控作用	EPCAM
PLSCR1	起调控作用	MYC
ERBB4	起调控作用	CDK6
GAA	起调控作用	HDAC6
FBP1	起调控作用	EIF4EBP1
KRAS	起调控作用	LGALS1
ESS2	起调控作用	SELL
NOX1	起调控作用	POLR2F
KEAP1	起调控作用	TXNRD1
DHCR7	起调控作用	HSPB1
TIMP2	起调控作用	PSMG1
PEBP1	起调控作用	TFPI2
G6PD	起调控作用	PFN1
HSF1	起调控作用	CDC20
PRKDC	起调控作用	PCBD1
TRAF1	起调控作用	MYC
CASP6	起调控作用	CES1
RET	起调控作用	NR1H2
CA12	起调控作用	CXCR4
BIRC5	起调控作用	FOSB
STAT3	起调控作用	BLVRA
HSPA5	起调控作用	CASK
CAT	起调控作用	EGR1
IGF1R	起调控作用	CES1
ERBB2	起调控作用	VIM
CAT	起调控作用	ICAM1
PTPN1	起调控作用	SMS
PLAT	起调控作用	IGFBP7
HMGB1	起调控作用	CDC20
IKBKG	起调控作用	ESRRA
CTPS1	起调控作用	PCBD1
HSD17B10	起调控作用	PCCB
GAA	起调控作用	CFLAR
IL6ST	起调控作用	FGFR2
FTH1	起调控作用	VEGFA
RPS19	起调控作用	PLK1
EBP	起调控作用	NRIP1
NAGA	起调控作用	GJA1
NME1	起调控作用	GHR
PDGFRB	起调控作用	CDC25B
VCP	起调控作用	MAP1B
DAXX	起调控作用	SNAP25
MYC	起调控作用	PFN1
TLR9	起调控作用	LGALS1
GFRA1	起调控作用	TYMS
AHR	起调控作用	F2RL1
GRN	起调控作用	IGFBP2
BRAF	起调控作用	TPI1
AKR1B1	起调控作用	AKT1
HPRT1	起调控作用	CXCL1
PYCR1	起调控作用	CSRP1
BCL2	起调控作用	TYMS
HADHB	起调控作用	DLD
BATF3	起调控作用	RBP4
PIK3CA	起调控作用	SLC1A4
HIF1A	起调控作用	GPI
PPARGC1A	起调控作用	PCNA
DUSP3	起调控作用	RFC2
HMGCR	起调控作用	HSD17B10
APOC3	起调控作用	HP
GALE	起调控作用	SLC9A1
KDR	起调控作用	PAK1
FOSL1	起调控作用	SPP1
VIM	起调控作用	NME1
PC	起调控作用	SPP1
CCND1	起调控作用	BAG3
SREBF1	起调控作用	VEGFA
DHCR7	起调控作用	HMGCR
HMGB1	起调控作用	SERPINA3
GAA	起调控作用	PLSCR1
BRAF	起调控作用	AURKA
PFKL	起调控作用	TF
PAX8	起调控作用	CYCS
ITPR1	起调控作用	BBC3
TUBB2A	起调控作用	G6PD
CALR	起调控作用	TLR4
BRCA1	起调控作用	SERPINA3
P2RY12	起调控作用	LGALS1
PROS1	起调控作用	NOS3
MEN1	起调控作用	MIF
ACO2	起调控作用	SLC1A3
CD14	起调控作用	ZBTB7A
SIK1	起调控作用	GGT1
HRH1	起调控作用	STXBP2
RET	起调控作用	SERPINA3
TPI1	起调控作用	SLC7A5
IL11RA	起调控作用	NME1
ABAT	起调控作用	MYC
GPR4	起调控作用	ADM
DAXX	起调控作用	NCOA1
HADH	起调控作用	NDUFA10
ITK	起调控作用	SLC1A4
CDKN1A	起调控作用	DDX39A
SLC9A1	起调控作用	PAM
NRP1	起调控作用	CDK2
PDGFRB	起调控作用	CSRP1
PSEN1	起调控作用	CSRP1
ICAM1	起调控作用	SLC25A13
WRN	起调控作用	NFKB2
SMARCE1	起调控作用	PTGS2
STAT1	起调控作用	ACLY
IKBKG	起调控作用	GRN
NRAS	起调控作用	CYP1B1
TNFRSF11A	起调控作用	CCL2
IFNGR1	起调控作用	TIMP1
VDAC1	起调控作用	CSRP1
SERPINC1	起调控作用	GRB2
ABL1	起调控作用	ASS1
C1QA	起调控作用	PRKCQ
CD3D	起调控作用	FABP5
PIK3R1	起调控作用	CYCS
ELK1	起调控作用	TPI1
GGT1	起调控作用	SCARB1
TP53	起调控作用	SPR
NRAS	起调控作用	CES1
TIMP2	起调控作用	GDF15
APRT	起调控作用	CSRP1
CDK2	起调控作用	CDC37
AURKA	起调控作用	TBXA2R
HDAC4	起调控作用	PCBD1
PPARA	起调控作用	PYCR1
CXCL1	起调控作用	TOP2A
ICAM1	起调控作用	PSMG1
APOC2	起调控作用	DNMT1
PLAT	起调控作用	HPRT1
SIRT1	起调控作用	CRYZ
BID	起调控作用	PPOX
PTPN1	起调控作用	CEBPB
GALE	起调控作用	LGALS1
SIN3A	起调控作用	CCNB1
ERBB3	起调控作用	S100B
IFNGR2	起调控作用	GDF15
HSP90AA1	起调控作用	PCNA
LGALS1	起调控作用	CDK6
ATM	起调控作用	CCNB1
BLVRA	起调控作用	PHGDH
SMAD4	起调控作用	TUBA4A
TGFBR2	起调控作用	GNAS
SNCA	起调控作用	TYMS
CDC25A	起调控作用	TGFB3
PTCH1	起调控作用	SLC1A4
CHEK2	起调控作用	VDAC1
EIF4EBP1	起调控作用	TPI1
SMAD2	起调控作用	MT2A
NRP1	起调控作用	CFB
ATP2C1	起调控作用	TUBA1A
XBP1	起调控作用	ATXN3
CASP6	起调控作用	TYMS
CDK4	起调控作用	DNMT1
PTGS2	起调控作用	GDF15
AR	起调控作用	COG2
NPTN	起调控作用	VIM
NOX1	起调控作用	NDUFA9
CREB1	起调控作用	ATP2C1
ESR2	起调控作用	TSC22D3
ERBB3	起调控作用	LGALS1
LIF	起调控作用	HSPB1
TBXA2R	起调控作用	GRN
CTDSP1	起调控作用	GDF15
PRKCQ	起调控作用	CSRP1
AKR1B1	起调控作用	CES1
INSR	起调控作用	CDC20
RPS6	起调控作用	AXIN1
SPR	起调控作用	TXNRD1
SLC25A12	起调控作用	BAD
PLOD1	起调控作用	MMP1
TNF	起调控作用	SRC
IFNB1	起调控作用	GADD45A
BIRC5	起调控作用	PRKCQ
SOX10	起调控作用	TPI1
SOD1	起调控作用	MYB
PSEN2	起调控作用	PNP
AURKA	起调控作用	MMP1
GLA	起调控作用	MIF
ERBB4	起调控作用	SLC38A2
IGFBP5	起调控作用	PNP
SERPINC1	起调控作用	CDK5R1
SIK1	起调控作用	RAB3GAP2
INS	起调控作用	TIMP1
PRKDC	起调控作用	TXNRD1
PAX8	起调控作用	DUSP3
SMAD2	起调控作用	HLA-DRA
FECH	起调控作用	CDC20
POLB	起调控作用	GADD45A
NPTN	起调控作用	AURKA
NR1H2	起调控作用	VIM
GSK3B	起调控作用	PSAT1
DDC	起调控作用	HMOX1
IGFBP5	起调控作用	PCBD1
E2F1	起调控作用	GNAS
EGF	起调控作用	PFKL
KISS1R	起调控作用	HK1
MAX	起调控作用	CYCS
TGFB1	起调控作用	TSC22D3
DHFR	起调控作用	SPP1
PLK1	起调控作用	BCL2
RHOA	起调控作用	ST3GAL5
BRAF	起调控作用	CBS
ALAS1	起调控作用	TFPI2
GCLC	起调控作用	TF
CFLAR	起调控作用	CASP2
HPGD	起调控作用	PCBD1
ACAT1	起调控作用	PCBD1
CAPN1	起调控作用	PPARD
CDKN1A	起调控作用	CHEK2
KRAS	起调控作用	TPI1
PLA2G4A	起调控作用	AXIN1
SRC	起调控作用	TGFB3
CASP7	起调控作用	MYC
ATP2A2	起调控作用	CSRP1
CALM1	起调控作用	ASS1
FECH	起调控作用	PNP
DAXX	起调控作用	ADAM10
SCNN1A	起调控作用	HPRT1
TP53	起调控作用	SMAD4
NKX2-5	起调控作用	CSRP1
IRF5	起调控作用	CXCR4
CEBPB	起调控作用	PIK3CA
BTK	起调控作用	PFN1
EBP	起调控作用	GAA
SMAD4	起调控作用	KIT
TUBB3	起调控作用	TIMP2
ZNF595	起调控作用	FOSL1
CASP6	起调控作用	RPIA
GGT1	起调控作用	CES1
CFLAR	起调控作用	CXCL1
