基因	关系	通路
FYN	相关通路	Pathway::WP2380_r79953
ELK1	相关通路	Pathway::WP2380_r79953
BMF	相关通路	Pathway::PC7_1684
PRKCB	相关通路	Pathway::WP23_r79985
COL1A2	相关通路	Pathway::PC7_3777
MAPK3	相关通路	Pathway::WP231_r81070
HDAC1	相关通路	Pathway::PC7_6794
BRAF	相关通路	Pathway::WP712_r78491
HSP90AB1	相关通路	Pathway::PC7_8226
CD36	相关通路	Pathway::PC7_6945
RB1	相关通路	Pathway::WP707_r82937
MDM2	相关通路	Pathway::PC7_7463
EBP	相关通路	Pathway::PC7_5326
INS	相关通路	Pathway::PC7_3278
A2M	相关通路	Pathway::PC7_6512
IGF1	相关通路	Pathway::WP2795_r78544
POLR2F	相关通路	Pathway::PC7_3968
SLC25A1	相关通路	Pathway::PC7_3878
IRS1	相关通路	Pathway::PC7_4688
CTNNA1	相关通路	Pathway::PC7_7660
ICAM1	相关通路	Pathway::PC7_4688
TGFB1	相关通路	Pathway::PC7_7439
YWHAZ	相关通路	Pathway::PC7_12267
GHRL	相关通路	Pathway::PC7_4044
PSMB4	相关通路	Pathway::PC7_4005
IL6	相关通路	Pathway::PC7_7443
LHCGR	相关通路	Pathway::WP34_r72115
CTNNB1	相关通路	Pathway::WP2870_r79555
VWF	相关通路	Pathway::PC7_4042
FASN	相关通路	Pathway::WP1982_r79943
LCK	相关通路	Pathway::PC7_3328
ADCY8	相关通路	Pathway::PC7_7447
CCL4	相关通路	Pathway::PC7_2620
GSK3B	相关通路	Pathway::WP179_r70629
C5AR1	相关通路	Pathway::PC7_7439
MAP2K1	相关通路	Pathway::PC7_2533
JUN	相关通路	Pathway::WP2036_r84527
PPP3CA	相关通路	Pathway::WP391_r71373
THRB	相关通路	Pathway::PC7_4112
MTR	相关通路	Pathway::WP15_r82705
XDH	相关通路	Pathway::WP15_r82705
SLC10A1	相关通路	Pathway::PC7_6866
SLC10A2	相关通路	Pathway::PC7_5322
MAPK13	相关通路	Pathway::PC7_5995
CCL11	相关通路	Pathway::PC7_7457
HNRNPA2B1	相关通路	Pathway::WP411_r79980
GLI3	相关通路	Pathway::WP47_r78542
CDKN1B	相关通路	Pathway::PC7_2625
CREBBP	相关通路	Pathway::PC7_6946
AKT1	相关通路	Pathway::WP26_r79950
CHUK	相关通路	Pathway::WP2804_r79882
B4GALT4	相关通路	Pathway::PC7_5678
EPHB2	相关通路	Pathway::PC7_1863
JAK2	相关通路	Pathway::PC7_5559
NFATC3	相关通路	Pathway::WP1591_r84699
RORA	相关通路	Pathway::PC7_6910
ARF1	相关通路	Pathway::PC7_5157
KCNN4	相关通路	Pathway::PC7_5887
CASP3	相关通路	Pathway::WP231_r81070
HRAS	相关通路	Pathway::PC7_7269
SIK1	相关通路	Pathway::PC7_4938
FTCD	相关通路	Pathway::WP241_r83818
CSF2RB	相关通路	Pathway::PC7_4688
RPLP2	相关通路	Pathway::PC7_6393
LEP	相关通路	Pathway::WP1403_r79471
CDH1	相关通路	Pathway::PC7_6914
CREB1	相关通路	Pathway::PC7_8431
RAC1	相关通路	Pathway::PC7_4762
HMGCR	相关通路	Pathway::WP197_r81059
LCK	相关通路	Pathway::PC7_3326
CD44	相关通路	Pathway::PC7_4688
SNAI1	相关通路	Pathway::WP2064_r79263
NCOA1	相关通路	Pathway::PC7_2098
GRIA1	相关通路	Pathway::WP2447_r84415
NUF2	相关通路	Pathway::PC7_6941
FBLN5	相关通路	Pathway::PC7_3649
LRAT	相关通路	Pathway::PC7_3278
SRC	相关通路	Pathway::PC7_5884
F7	相关通路	Pathway::WP3594_r84573
GAP43	相关通路	Pathway::PC7_5673
MAPK3	相关通路	Pathway::WP195_r79965
TIMP2	相关通路	Pathway::PC7_3777
PIK3R1	相关通路	Pathway::WP1449_r81172
SP1	相关通路	Pathway::PC7_4341
PRKCE	相关通路	Pathway::PC7_3327
TNF	相关通路	Pathway::PC7_4618
FYN	相关通路	Pathway::PC7_6149
PRKCE	相关通路	Pathway::PC7_6892
MAPK8	相关通路	Pathway::WP1544_r84696
PFKL	相关通路	Pathway::WP481_r82731
RAC1	相关通路	Pathway::PC7_2263
PIP4K2A	相关通路	Pathway::PC7_7751
MAPK3	相关通路	Pathway::PC7_2925
PTPN11	相关通路	Pathway::PC7_8664
PSMB4	相关通路	Pathway::PC7_1214
MAP2K4	相关通路	Pathway::WP2637_r80029
F2R	相关通路	Pathway::PC7_2620
PDPK1	相关通路	Pathway::PC7_6826
HRAS	相关通路	Pathway::PC7_7503
JAK1	相关通路	Pathway::WP2332_r79525
APOC2	相关通路	Pathway::PC7_6948
MAPK13	相关通路	Pathway::PC7_7504
PRKACA	相关通路	Pathway::PC7_1599
TP53	相关通路	Pathway::PC7_1123
PRKCZ	相关通路	Pathway::PC7_7491
IL6ST	相关通路	Pathway::PC7_3884
CCNB1	相关通路	Pathway::PC7_5988
VEGFA	相关通路	Pathway::PC7_1601
GRM1	相关通路	Pathway::PC7_4107
MDM2	相关通路	Pathway::PC7_3278
AMN	相关通路	Pathway::PC7_4992
MAPK3	相关通路	Pathway::PC7_8665
TIMP1	相关通路	Pathway::WP364_r83783
MYC	相关通路	Pathway::PC7_4611
MAP2K2	相关通路	Pathway::PC7_7443
KRAS	相关通路	Pathway::PC7_7503
ADRA2C	相关通路	Pathway::PC7_1576
UBB	相关通路	Pathway::PC7_8625
PRKAR2B	相关通路	Pathway::PC7_6050
RARB	相关通路	Pathway::WP716_r83589
CDC25A	相关通路	Pathway::PC7_2833
GABBR1	相关通路	Pathway::PC7_7457
MTOR	相关通路	Pathway::PC7_4417
UBB	相关通路	Pathway::PC7_6786
CCNB1	相关通路	Pathway::PC7_5124
LIG1	相关通路	Pathway::PC7_4156
SLC9A1	相关通路	Pathway::PC7_7290
CD86	相关通路	Pathway::PC7_6149
OPRM1	相关通路	Pathway::WP455_r81793
UBB	相关通路	Pathway::PC7_2680
NFKBIA	相关通路	Pathway::PC7_1987
HDAC1	相关通路	Pathway::PC7_6946
EPOR	相关通路	Pathway::PC7_7494
CDC25C	相关通路	Pathway::WP707_r82937
NME1	相关通路	Pathway::PC7_6542
PIK3R1	相关通路	Pathway::PC7_4662
APP	相关通路	Pathway::PC7_4741
GLS2	相关通路	Pathway::PC7_5891
NUF2	相关通路	Pathway::PC7_2521
MTHFR	相关通路	Pathway::WP176_r82704
TSHB	相关通路	Pathway::PC7_4490
PRKAG2	相关通路	Pathway::PC7_4663
MAP2K1	相关通路	Pathway::PC7_7506
TP53	相关通路	Pathway::WP399_r79474
ADRA2A	相关通路	Pathway::PC7_6909
MAPK1	相关通路	Pathway::WP127_r78498
LCK	相关通路	Pathway::PC7_4492
GSN	相关通路	Pathway::PC7_3278
HBEGF	相关通路	Pathway::PC7_7447
PDE6A	相关通路	Pathway::PC7_7484
NFKB1	相关通路	Pathway::PC7_2529
ITGAM	相关通路	Pathway::PC7_4449
ERBB2	相关通路	Pathway::PC7_7443
NR5A1	相关通路	Pathway::PC7_4116
TTR	相关通路	Pathway::PC7_6948
TH	相关通路	Pathway::PC7_1629
ACADSB	相关通路	Pathway::PC7_1629
ATP6V1B2	相关通路	Pathway::PC7_7460
MAP3K1	相关通路	Pathway::PC7_3885
SYN1	相关通路	Pathway::WP727_r79969
APOA1	相关通路	Pathway::WP2878_r79689
RRM2B	相关通路	Pathway::PC7_5994
CYCS	相关通路	Pathway::PC7_6943
RORA	相关通路	Pathway::PC7_2582
F3	相关通路	Pathway::PC7_4449
RPL11	相关通路	Pathway::PC7_4729
KRAS	相关通路	Pathway::PC7_3864
APOB	相关通路	Pathway::PC7_2525
PGAM2	相关通路	Pathway::PC7_5322
ABCC4	相关通路	Pathway::PC7_6945
IGFBP3	相关通路	Pathway::WP289_r81078
TP53	相关通路	Pathway::PC7_8322
EGFR	相关通路	Pathway::PC7_6157
LCK	相关通路	Pathway::PC7_3417
ADRA1A	相关通路	Pathway::PC7_4107
MUC2	相关通路	Pathway::PC7_8155
HTR2A	相关通路	Pathway::WP455_r81793
MAPK1	相关通路	Pathway::PC7_3433
CTBP1	相关通路	Pathway::PC7_6569
JAK1	相关通路	Pathway::PC7_7447
PRKCE	相关通路	Pathway::WP666_r68893
GSTP1	相关通路	Pathway::PC7_2532
VEGFA	相关通路	Pathway::PC7_7495
CD3G	相关通路	Pathway::PC7_7788
MAPK10	相关通路	Pathway::WP2643_r74251
XBP1	相关通路	Pathway::PC7_1190
ATP2A2	相关通路	Pathway::WP2059_r82906
CXCL8	相关通路	Pathway::WP75_r83867
ADRA2A	相关通路	Pathway::PC7_4043
MAPK3	相关通路	Pathway::PC7_1517
RPS17	相关通路	Pathway::PC7_6966
GYG1	相关通路	Pathway::WP481_r82731
MAP2K4	相关通路	Pathway::WP314_r80438
HRAS	相关通路	Pathway::PC7_3328
HCN2	相关通路	Pathway::PC7_4318
NRAS	相关通路	Pathway::PC7_1863
CHUK	相关通路	Pathway::WP3303_r83781
CAPN1	相关通路	Pathway::WP2059_r82906
MYC	相关通路	Pathway::PC7_7784
ATM	相关通路	Pathway::PC7_12274
CTNNA1	相关通路	Pathway::PC7_8667
GGCX	相关通路	Pathway::PC7_4100
HRAS	相关通路	Pathway::PC7_8430
PLG	相关通路	Pathway::PC7_6512
MAPK13	相关通路	Pathway::PC7_2526
MTOR	相关通路	Pathway::PC7_2925
FN1	相关通路	Pathway::WP306_r80308
AKT1	相关通路	Pathway::PC7_5307
PLG	相关通路	Pathway::PC7_3284
NCOA6	相关通路	Pathway::PC7_6910
HLA-DQB1	相关通路	Pathway::PC7_3324
TUBA1A	相关通路	Pathway::WP2359_r72121
PTPN11	相关通路	Pathway::PC7_7482
NPC1L1	相关通路	Pathway::PC7_5322
FGFR3	相关通路	Pathway::WP2064_r79263
CDK6	相关通路	Pathway::WP179_r70629
RFC2	相关通路	Pathway::WP466_r79981
ADCY2	相关通路	Pathway::PC7_2392
AQP2	相关通路	Pathway::PC7_8701
CCNB1	相关通路	Pathway::PC7_1131
IL2RA	相关通路	Pathway::PC7_2458
HRAS	相关通路	Pathway::WP2380_r79953
NFATC3	相关通路	Pathway::PC7_4741
TF	相关通路	Pathway::PC7_6514
KISS1R	相关通路	Pathway::PC7_2620
CALM1	相关通路	Pathway::PC7_7483
DST	相关通路	Pathway::PC7_8680
AXIN1	相关通路	Pathway::PC7_7483
ESR1	相关通路	Pathway::WP1984_r82941
BCL2	相关通路	Pathway::WP3287_r84570
MMP2	相关通路	Pathway::WP129_r72054
GFRA1	相关通路	Pathway::WP410_r84683
ITPR2	相关通路	Pathway::PC7_2925
SYK	相关通路	Pathway::PC7_2624
KITLG	相关通路	Pathway::PC7_3325
DES	相关通路	Pathway::PC7_1856
ACAT1	相关通路	Pathway::PC7_7739
CALM1	相关通路	Pathway::PC7_1530
ATP2C1	相关通路	Pathway::PC7_4792
GADD45A	相关通路	Pathway::WP382_r79951
MEF2A	相关通路	Pathway::WP2029_r82903
THBS1	相关通路	Pathway::PC7_4758
BCL6	相关通路	Pathway::PC7_3980
PLOD2	相关通路	Pathway::PC7_3777
EIF4E	相关通路	Pathway::WP2034_r80016
NRAS	相关通路	Pathway::PC7_7266
MAPK1	相关通路	Pathway::PC7_5697
TSC22D3	相关通路	Pathway::PC7_7681
KDR	相关通路	Pathway::PC7_8664
IL5	相关通路	Pathway::WP2328_r84648
MBP	相关通路	Pathway::WP2637_r80029
GSK3B	相关通路	Pathway::WP363_r78571
E2F1	相关通路	Pathway::PC7_2529
CYB5R3	相关通路	Pathway::PC7_3017
MAP2K2	相关通路	Pathway::PC7_7439
VCAM1	相关通路	Pathway::PC7_2076
GGT1	相关通路	Pathway::WP167_r82702
AKT1	相关通路	Pathway::PC7_10400
DAXX	相关通路	Pathway::WP2377_r80437
CTSF	相关通路	Pathway::PC7_1563
JAK2	相关通路	Pathway::PC7_5558
CDKN1A	相关通路	Pathway::WP615_r81193
MAPK8	相关通路	Pathway::PC7_5560
RAF1	相关通路	Pathway::WP2034_r80016
ADCY5	相关通路	Pathway::PC7_7443
NR1I3	相关通路	Pathway::PC7_4112
YBX3	相关通路	Pathway::WP2864_r79278
YWHAB	相关通路	Pathway::PC7_3806
HBA1	相关通路	Pathway::PC7_7396
ITGB1	相关通路	Pathway::PC7_1601
NEU1	相关通路	Pathway::PC7_6540
L1CAM	相关通路	Pathway::PC7_4765
MMP8	相关通路	Pathway::PC7_3065
STAT1	相关通路	Pathway::WP127_r78498
MDM2	相关通路	Pathway::PC7_6047
APP	相关通路	Pathway::WP366_r84196
FASLG	相关通路	Pathway::PC7_1684
TNFSF10	相关通路	Pathway::WP1742_r71700
APP	相关通路	Pathway::PC7_4449
MMP14	相关通路	Pathway::PC7_2669
TUBB2A	相关通路	Pathway::WP2272_r78594
MAP2K2	相关通路	Pathway::WP313_r79946
CDKN1A	相关通路	Pathway::WP2261_r81197
IRS1	相关通路	Pathway::PC7_7341
MADD	相关通路	Pathway::PC7_7851
IFNA2	相关通路	Pathway::PC7_6786
JUN	相关通路	Pathway::PC7_6740
RPS27A	相关通路	Pathway::PC7_4727
KNG1	相关通路	Pathway::WP558_r79680
TP53	相关通路	Pathway::PC7_3869
ITGB1	相关通路	Pathway::PC7_2528
F11R	相关通路	Pathway::PC7_2526
SERPING1	相关通路	Pathway::PC7_4784
SREBF2	相关通路	Pathway::PC7_3882
SRC	相关通路	Pathway::PC7_6512
ACAT1	相关通路	Pathway::PC7_5322
TBXA2R	相关通路	Pathway::PC7_3993
PRKCZ	相关通路	Pathway::WP1584_r81779
CCNE1	相关通路	Pathway::WP138_r79958
MAP2K1	相关通路	Pathway::WP666_r68893
SMO	相关通路	Pathway::PC7_7439
SDHD	相关通路	Pathway::WP78_r70014
PRKCD	相关通路	Pathway::PC7_8431
MMP2	相关通路	Pathway::PC7_3415
RPLP2	相关通路	Pathway::PC7_4085
TRIM37	相关通路	Pathway::PC7_4688
GSN	相关通路	Pathway::PC7_1655
STAT3	相关通路	Pathway::PC7_7449
PSEN2	相关通路	Pathway::WP2059_r82906
FGFR3	相关通路	Pathway::PC7_7463
PLAUR	相关通路	Pathway::PC7_5330
TGFA	相关通路	Pathway::PC7_3855
TFRC	相关通路	Pathway::PC7_8339
CLU	相关通路	Pathway::PC7_6945
AURKB	相关通路	Pathway::PC7_5531
ERBB3	相关通路	Pathway::PC7_7444
BAK1	相关通路	Pathway::PC7_4785
F11R	相关通路	Pathway::PC7_2078
AXIN1	相关通路	Pathway::WP2064_r79263
RPS27A	相关通路	Pathway::PC7_6054
MAPK9	相关通路	Pathway::WP23_r79985
EP300	相关通路	Pathway::PC7_7483
SMAD4	相关通路	Pathway::WP710_r79974
GAPDH	相关通路	Pathway::PC7_4162
CTNNB1	相关通路	Pathway::WP2804_r79882
CDK7	相关通路	Pathway::PC7_6794
CRHR1	相关通路	Pathway::PC7_2621
KCNJ10	相关通路	Pathway::PC7_5887
CREB1	相关通路	Pathway::PC7_2926
PIK3R2	相关通路	Pathway::PC7_6149
PRKCA	相关通路	Pathway::PC7_6911
SP1	相关通路	Pathway::PC7_4612
CTNNB1	相关通路	Pathway::PC7_11039
BBC3	相关通路	Pathway::PC7_3277
MTNR1B	相关通路	Pathway::PC7_2620
ITGB1	相关通路	Pathway::PC7_2526
CYP7A1	相关通路	Pathway::PC7_5326
NFKB1	相关通路	Pathway::WP3414_r82252
RAC1	相关通路	Pathway::PC7_7482
GRK2	相关通路	Pathway::PC7_7448
TPI1	相关通路	Pathway::PC7_4162
TP53	相关通路	Pathway::WP45_r80001
MC1R	相关通路	Pathway::PC7_7439
CREBBP	相关通路	Pathway::WP2377_r80437
GRB2	相关通路	Pathway::PC7_2526
CD36	相关通路	Pathway::PC7_2095
CPT2	相关通路	Pathway::WP368_r79271
PDPK1	相关通路	Pathway::PC7_8667
IL6	相关通路	Pathway::WP2848_r80009
PIK3CD	相关通路	Pathway::WP2261_r81197
PDGFB	相关通路	Pathway::PC7_3278
CS	相关通路	Pathway::PC7_5517
NPM1	相关通路	Pathway::PC7_8677
CD40	相关通路	Pathway::PC7_4688
CDKN1B	相关通路	Pathway::PC7_2949
ADCY8	相关通路	Pathway::PC7_8701
PPARA	相关通路	Pathway::WP236_r80209
HLA-DQA2	相关通路	Pathway::PC7_3324
PRKCB	相关通路	Pathway::WP304_r78799
MYH9	相关通路	Pathway::WP2572_r79947
MAP2K1	相关通路	Pathway::WP2374_r73668
NR3C1	相关通路	Pathway::PC7_6876
GSR	相关通路	Pathway::WP408_r78546
SLC6A8	相关通路	Pathway::WP2884_r83041
JAK2	相关通路	Pathway::PC7_2925
PIK3CA	相关通路	Pathway::PC7_2925
CHUK	相关通路	Pathway::WP2526_r82681
CASP8	相关通路	Pathway::PC7_1525
AGTR1	相关通路	Pathway::WP2328_r84648
MAPK8	相关通路	Pathway::PC7_8291
NOTCH3	相关通路	Pathway::PC7_6563
ITGB3	相关通路	Pathway::PC7_4063
MITF	相关通路	Pathway::PC7_4637
CHUK	相关通路	Pathway::PC7_7788
PSMB4	相关通路	Pathway::PC7_1877
MAPK3	相关通路	Pathway::PC7_7482
TNFSF10	相关通路	Pathway::WP1772_r84701
SDHB	相关通路	Pathway::PC7_5322
IGF1	相关通路	Pathway::PC7_6887
APOB	相关通路	Pathway::WP15_r82705
HDAC4	相关通路	Pathway::PC7_8675
PTPN6	相关通路	Pathway::PC7_7437
MYD88	相关通路	Pathway::PC7_5558
IL6	相关通路	Pathway::PC7_5772
CDC42	相关通路	Pathway::WP2018_r79959
MUC1	相关通路	Pathway::PC7_8155
CREB1	相关通路	Pathway::PC7_1064
NR1I3	相关通路	Pathway::WP170_r71083
GLI2	相关通路	Pathway::WP47_r78542
NR4A1	相关通路	Pathway::PC7_4112
NRCAM	相关通路	Pathway::PC7_1863
CYCS	相关通路	Pathway::PC7_2506
EP300	相关通路	Pathway::PC7_7490
SNCA	相关通路	Pathway::PC7_1655
GADD45A	相关通路	Pathway::PC7_3277
TUBA4A	相关通路	Pathway::PC7_2541
MAPK1	相关通路	Pathway::PC7_4038
BCL2L1	相关通路	Pathway::PC7_3424
PENK	相关通路	Pathway::PC7_2620
APOB	相关通路	Pathway::PC7_8339
PIK3R1	相关通路	Pathway::PC7_5970
IL5	相关通路	Pathway::PC7_4627
YWHAZ	相关通路	Pathway::PC7_6992
STAT3	相关通路	Pathway::PC7_6200
MAPK9	相关通路	Pathway::WP2018_r79959
IL6	相关通路	Pathway::PC7_7268
F12	相关通路	Pathway::PC7_4784
DCTN1	相关通路	Pathway::PC7_2534
PLA2G6	相关通路	Pathway::PC7_5322
KCNJ10	相关通路	Pathway::PC7_6543
CD3G	相关通路	Pathway::PC7_3886
HBA1	相关通路	Pathway::PC7_2095
BCL2	相关通路	Pathway::WP1984_r82941
AR	相关通路	Pathway::PC7_3852
CDK2	相关通路	Pathway::WP1984_r82941
KRAS	相关通路	Pathway::PC7_2624
MAPK8	相关通路	Pathway::WP1772_r84701
KCNJ6	相关通路	Pathway::PC7_4016
ACAT1	相关通路	Pathway::WP465_r79226
ADCY5	相关通路	Pathway::PC7_6171
PSME3	相关通路	Pathway::PC7_1537
MAPK1	相关通路	Pathway::PC7_6141
SLC25A4	相关通路	Pathway::PC7_5322
RPS6	相关通路	Pathway::PC7_4662
HSD17B3	相关通路	Pathway::PC7_8424
HEXB	相关通路	Pathway::PC7_2569
FGFR1	相关通路	Pathway::PC7_7445
ITGB1	相关通路	Pathway::PC7_3084
CREBBP	相关通路	Pathway::PC7_7495
NRAS	相关通路	Pathway::PC7_3699
PSMB8	相关通路	Pathway::PC7_4037
HRAS	相关通路	Pathway::PC7_1163
NRAS	相关通路	Pathway::PC7_6618
IFNAR2	相关通路	Pathway::PC7_4772
CASP9	相关通路	Pathway::WP1772_r84701
RAC1	相关通路	Pathway::WP185_r80036
AVPR2	相关通路	Pathway::PC7_8339
PRKCD	相关通路	Pathway::PC7_3995
IL1B	相关通路	Pathway::PC7_4594
SGK1	相关通路	Pathway::WP481_r82731
HRAS	相关通路	Pathway::PC7_5970
CD3E	相关通路	Pathway::PC7_6128
CALM1	相关通路	Pathway::PC7_5890
MMP3	相关通路	Pathway::PC7_7439
PKLR	相关通路	Pathway::PC7_2500
RELA	相关通路	Pathway::WP2637_r80029
CHUK	相关通路	Pathway::WP1449_r81172
AKR1B1	相关通路	Pathway::PC7_5322
RPS27A	相关通路	Pathway::PC7_8058
PRKCB	相关通路	Pathway::PC7_7788
MEF2A	相关通路	Pathway::WP2795_r78544
NCOA1	相关通路	Pathway::PC7_8339
TPH1	相关通路	Pathway::WP3594_r84573
NFATC3	相关通路	Pathway::PC7_3805
CASP8	相关通路	Pathway::WP1971_r82939
NR1H4	相关通路	Pathway::PC7_6432
GPD2	相关通路	Pathway::WP143_r79783
CDK7	相关通路	Pathway::PC7_2832
PLA2G6	相关通路	Pathway::PC7_1558
PIK3CA	相关通路	Pathway::PC7_2526
ACTC1	相关通路	Pathway::WP2406_r73324
FASN	相关通路	Pathway::PC7_3278
SRC	相关通路	Pathway::WP2034_r80016
PDGFRB	相关通路	Pathway::PC7_7439
YBX3	相关通路	Pathway::WP2290_r79988
MYC	相关通路	Pathway::WP710_r79974
PRDM9	相关通路	Pathway::PC7_2519
JUN	相关通路	Pathway::PC7_1123
GRIN2B	相关通路	Pathway::PC7_2333
ARF1	相关通路	Pathway::PC7_7496
PARK7	相关通路	Pathway::PC7_1598
CTSD	相关通路	Pathway::PC7_6395
AVP	相关通路	Pathway::PC7_2620
PIK3R1	相关通路	Pathway::PC7_7751
CHRNA2	相关通路	Pathway::PC7_5890
CASP6	相关通路	Pathway::WP384_r67054
ADRA2B	相关通路	Pathway::PC7_3995
CASP3	相关通路	Pathway::PC7_12280
RPS27A	相关通路	Pathway::PC7_4366
GABBR1	相关通路	Pathway::PC7_3992
SPHK1	相关通路	Pathway::PC7_8666
MAP2K1	相关通路	Pathway::WP2034_r80016
CREB1	相关通路	Pathway::PC7_3278
FN1	相关通路	Pathway::PC7_3777
P4HB	相关通路	Pathway::PC7_2670
CXCL8	相关通路	Pathway::WP2431_r84650
ACTB	相关通路	Pathway::PC7_3084
ESRRA	相关通路	Pathway::WP391_r71373
APRT	相关通路	Pathway::PC7_6652
SDHC	相关通路	Pathway::PC7_6670
VDR	相关通路	Pathway::PC7_8680
PDGFRB	相关通路	Pathway::PC7_7445
RAF1	相关通路	Pathway::PC7_1987
SLC22A6	相关通路	Pathway::PC7_7290
NOS2	相关通路	Pathway::PC7_4614
ADRA2C	相关通路	Pathway::PC7_4449
PSIP1	相关通路	Pathway::PC7_4768
ERBB4	相关通路	Pathway::PC7_7446
MMP14	相关通路	Pathway::WP615_r81193
SLC25A1	相关通路	Pathway::PC7_4162
LRP2	相关通路	Pathway::PC7_8726
CHEK2	相关通路	Pathway::PC7_6191
FLT4	相关通路	Pathway::PC7_8659
APOA1	相关通路	Pathway::PC7_6514
MAPK3	相关通路	Pathway::WP2034_r80016
CASP9	相关通路	Pathway::PC7_7463
FGF2	相关通路	Pathway::PC7_6153
RELA	相关通路	Pathway::PC7_3885
ATM	相关通路	Pathway::PC7_4008
NFKB1	相关通路	Pathway::WP2034_r80016
PRKCA	相关通路	Pathway::PC7_6177
SLC1A2	相关通路	Pathway::PC7_8339
SAA1	相关通路	Pathway::PC7_1580
PDPK1	相关通路	Pathway::WP2332_r79525
CTNNB1	相关通路	Pathway::WP2377_r80437
HRAS	相关通路	Pathway::WP2032_r79960
TBXA2R	相关通路	Pathway::PC7_7435
RPS6KA3	相关通路	Pathway::PC7_5890
IRS1	相关通路	Pathway::WP581_r67199
DHCR7	相关通路	Pathway::PC7_1550
NFKBIA	相关通路	Pathway::WP2377_r80437
CASP3	相关通路	Pathway::WP1984_r82941
IKBKB	相关通路	Pathway::WP2036_r84527
APOE	相关通路	Pathway::PC7_7439
PRKACA	相关通路	Pathway::PC7_5322
HIF1A	相关通路	Pathway::PC7_6085
JUN	相关通路	Pathway::WP1984_r82941
CD3E	相关通路	Pathway::PC7_3324
HADHB	相关通路	Pathway::PC7_3882
NAT1	相关通路	Pathway::PC7_2098
CFD	相关通路	Pathway::PC7_1607
IL6	相关通路	Pathway::PC7_4062
ESRRA	相关通路	Pathway::PC7_5326
CCNA2	相关通路	Pathway::PC7_6918
PROC	相关通路	Pathway::PC7_4099
SLC17A5	相关通路	Pathway::PC7_8354
IYD	相关通路	Pathway::PC7_1629
CTNNBL1	相关通路	Pathway::PC7_12073
GRB2	相关通路	Pathway::PC7_5697
TPH1	相关通路	Pathway::PC7_7431
ACSL4	相关通路	Pathway::PC7_3878
MME	相关通路	Pathway::WP2059_r82906
FGF2	相关通路	Pathway::WP1544_r84696
EIF4EBP1	相关通路	Pathway::PC7_4112
PRKCQ	相关通路	Pathway::PC7_1563
HSPA5	相关通路	Pathway::PC7_6514
GRB2	相关通路	Pathway::PC7_3864
CDH5	相关通路	Pathway::PC7_2524
HSPB1	相关通路	Pathway::PC7_1214
PIK3R1	相关通路	Pathway::WP23_r79985
SCNN1A	相关通路	Pathway::PC7_7681
CA4	相关通路	Pathway::PC7_5322
FGFR3	相关通路	Pathway::PC7_3325
FGFR1	相关通路	Pathway::PC7_3326
PDE11A	相关通路	Pathway::PC7_3994
ACSL4	相关通路	Pathway::WP143_r79783
LEP	相关通路	Pathway::WP2895_r79216
CDC42	相关通路	Pathway::PC7_2276
BIRC5	相关通路	Pathway::PC7_7427
CASR	相关通路	Pathway::PC7_3993
PTK2	相关通路	Pathway::PC7_4688
MDM2	相关通路	Pathway::PC7_12271
PDGFRB	相关通路	Pathway::WP322_r79496
PECAM1	相关通路	Pathway::PC7_6516
PPP3CA	相关通路	Pathway::PC7_7483
MAP2K4	相关通路	Pathway::PC7_4820
PDGFRB	相关通路	Pathway::PC7_4688
PRKCD	相关通路	Pathway::PC7_7457
PTPN11	相关通路	Pathway::PC7_7265
CDKN1A	相关通路	Pathway::PC7_6913
IRAK4	相关通路	Pathway::PC7_4778
STAT3	相关通路	Pathway::WP2203_r78549
SYK	相关通路	Pathway::PC7_4741
NR1H4	相关通路	Pathway::PC7_5322
ELK1	相关通路	Pathway::WP712_r78491
PTK2B	相关通路	Pathway::WP2374_r73668
MAPK3	相关通路	Pathway::PC7_7444
WAS	相关通路	Pathway::WP51_r79977
COL3A1	相关通路	Pathway::PC7_2668
IAPP	相关通路	Pathway::PC7_4044
CD40	相关通路	Pathway::WP2328_r84648
RPS17	相关通路	Pathway::PC7_5973
BRCA1	相关通路	Pathway::WP1530_r84694
IL5	相关通路	Pathway::PC7_4161
GFRA1	相关通路	Pathway::PC7_6542
DRD4	相关通路	Pathway::WP666_r68893
IFNAR2	相关通路	Pathway::WP585_r80201
C1QB	相关通路	Pathway::PC7_4741
ACADM	相关通路	Pathway::WP143_r79783
CTSK	相关通路	Pathway::PC7_4688
MDM2	相关通路	Pathway::WP2516_r84490
NFKB1	相关通路	Pathway::PC7_3885
A2M	相关通路	Pathway::PC7_4970
TUBA4A	相关通路	Pathway::PC7_6642
ELK1	相关通路	Pathway::PC7_6141
KRAS	相关通路	Pathway::PC7_7444
JAK1	相关通路	Pathway::WP22_r79264
GP1BB	相关通路	Pathway::PC7_6511
ERBB3	相关通路	Pathway::PC7_2926
SLC22A5	相关通路	Pathway::PC7_8339
SLC6A8	相关通路	Pathway::PC7_2703
SLC6A2	相关通路	Pathway::PC7_8339
PSMB8	相关通路	Pathway::PC7_8709
IGF1	相关通路	Pathway::WP306_r80308
EEF1A1	相关通路	Pathway::WP107_r78489
MMP3	相关通路	Pathway::PC7_2670
SOD1	相关通路	Pathway::PC7_6945
MYH9	相关通路	Pathway::PC7_3084
CYP1B1	相关通路	Pathway::PC7_5326
PRKCB	相关通路	Pathway::PC7_5890
BAX	相关通路	Pathway::WP3287_r84570
