154447-36-6	DB02656
5,7-dihydroxyl-6,8,4  -trimethoxylflavone	Compound0945
5,8,4'-trimethoxy-6-methyl-7,2'-dihydroxy-3-benzylchroman-4-one	Compound0946
5,8-Dihydroxy-6,7-dimethoxyflavone	Compound0947
5-hydroxy-2',7,8-trimethoxyflavone	Compound0948
5-hydroxy-7,8,2',3'-tetramethoxyflavone	Compound0949
5-hydroxy-7,8,2',5'-tetramethoxyflavone	Compound0950
5-hydroxy-7,8,2',5'-tetramethoxy-flavone	Compound0951
5-hydroxy-7,8-dimethoxy flavanone	Compound0952
5-hydroxy-7,8-dimethoxy-2-(4-methoxyphenyl)chromone	Compound0953
5-Hydroxy-7,8-dimethoxy-6-methyl-3-(3',4'-dihydroxybenzyl) chroman-4-one	Compound0954
5-hydroxy-7-methoxy-2-(3,4,5-trimethoxyphenyl)chromone	Compound0955
5-Hydroxy-7-methoxy-3-(3-hydroxy-4-methoxybenzyl)-chroman-4-one	Compound0956
5-Hydroxy-7-methoxy-3  ,4  -methylenedioxy isoflavone	Compound0957
7-Hydroxy-4',5,6,8-tetramethoxyfoavone	Compound0958
7-hydroxy-5,8-dimethoxy-2-phenyl-chromone	Compound0959
7-Hydroxy-5,8-dimethoxyflavone	Compound0960
7-Hydroxy-5-methylflavone	Compound0961
arteanoflavone	Compound0962
Magnococline	Compound0963
Munjistin methyl ether	Compound0964
noryuziphine	Compound0965
Ophiopogonanone B	Compound0966
ophiopogonanone F	Compound0967
phellodendrine	Compound0968
protosinomenine	Compound0969
Rubiawallin C	Compound0970
Sagittin	Compound0971
tembetarine	Compound0972
yuziphine	Compound0973
(2R,3R)-5,3' ,4'-trimethoxyl-7-hydroxyl-flavanonol	Compound0974
(3R),(4S)-4-Hydroxylasiodiplodin	Compound0975
(3R)-des-O-methyl-lasiodiplodin	Compound0976
1,4-Dihydroxy-2-methylanthraquinone	Compound0977
1,6-Dihydroxy-2-methoxyanthraquinone	Compound0978
1-hydroxy-2,3-dimethoxyanthraquinone	Compound0979
1-Hydroxy-3-methoxyanthraquinone	Compound0980
2,4',6-trihydroxy-4-methoxyben- zophenone	Compound0981
2,4'-dihydroxy-4-methoxybenzophenone	Compound0982
3-(3',4'-Dihydroxybenzyl)-7-hydroxychroman-4-one	Compound0983
3-Deoxysappanone B	Compound0984
3-deoxysappanone,b	Compound0985
3-Methoxy-1,8-dihydroxy quinone	Compound0986
5,4'-Dihydroxy-7,3'-dimethoxy flavanoe	Compound0987
5,7-dihydroxy-6,8-dimethyl-3(R)-(3'-hydroxy-4'-methoxybenzyl)chroman-4-one	Compound0988
5,7-dihydroxy-6,8-dimethyl-3(S)-(3'-hydroxy-4'-methoxybenzyl)chroman-4-one	Compound0989
Biondinin C	Compound0990
Biondinin D	Compound0991
Des-O-methyllasiodiplodin	Compound0992
Hibicutaiwanin	Compound0993
Rubiawallin A	Compound0994
1-(1-Oxo-3-phenyl-2E-propenyl)piperidine	Compound0995
Cornigerine	Compound0996
Cyclic (L-phenylpropan-L-bright) dipeptide	Compound0997
Cyclic (L-pro-L-tyrosine) dipeptide	Compound0998
cyclo-(leu-tyr)	Compound0999
Cyclo-(Phe-Ala)	Compound1000
Cyclo-(Phe-Phe)	Compound1001
Cyclo-(Phe-Val)	Compound1002
Dimethylalpinumisoflavone	Compound1003
Erythrinin A	Compound1004
isoglabrone	Compound1005
  -D-glucose4-1  -D-galactose	Compound1006
5,7-dihydroxy-6-methoxyflavane	Compound1007
(e)-2-methoxy-5-(1-propenyl)-phenol	Compound1008
(E)-3-(3',5'-dimethoxy-4'-hydroxybenzylidence)-2-indolinone	Compound1009
(E)-3-(3',5'-Dimethoxy-4'-hydroxybenzylidene)-2-indolinone	Compound1010
(E)-3-(3'-methyl-2'butenylidene)-2-indolinone	Compound1011
(E)-3,3  -dimethoxy-4,4  -dihydroxystilbene	Compound1012
(E)-4-(4-hydroxy-3,5-dimethoxyphenyl)but-3-en-2-one	Compound1013
(Z)-3-(3'-methyl-2'butenylidene)-2-indolinone	Compound1014
1-(4-hydroxy-3-methoxyphenyl)-5-(4-hydroxy-phenyl)-1,4-pentadiene-3-one	Compound1015
3,3'-dimethoxy-cis-stilbene-4,4'-diol	Compound1016
4-Ethoxymethylphenyl-4'-hydroxybenzylether	Compound1017
5,7-Dihydroxy-6,8,2',3'-tetramethoxyflavone	Compound1018
7-Hydroxy-3-(4'-hydroxybenzylidene)-chroman-4-one	Compound1019
Cis-N-(4-hydroxycinnamyl)tyrosine	Compound1020
Isoindigo	Compound1021
Piceatannol-4  -O-  -D-glucopyranoside	Compound1022
trans-3,5,4'-trihydroxystilbene	Compound1023
trans-3-Acetoxy-5,7-dihydroxyflavanone	Compound1024
(+),n-methylcorydine	Compound1025
(+)-Cassythicine	Compound1026
(+)-N-Methyl laurotetanine	Compound1027
(+)-N-methyllaurotetanine	Compound1028
(S)-N-methylbulbocapnine	Compound1029
5,8-Dihydroxy-2-(2-phenylethyl) chromone	Compound1030
5,8-dihydroxy-2-(2-p-methoxyphenylethyl)chromone	Compound1031
5-hydroxy-6-methoxy-2-(2-phenylethyl)chromone	Compound1032
6,7-Dimethoxy-2-(2-phenylethyl) chromone	Compound1033
6,8-Dihydroxy-2-(2-phenylethyl)chromone	Compound1034
6-Hydroxy-7-methoxy-2-(2-phenylethyl)chromone	Compound1035
6-Methoxy-2-(2-phenylethyl) chromone	Compound1036
7-Hydroxy-2-(2-phenylethyl)chromone	Compound1037
isomer-of-magnofl,orine	Compound1038
lirioferine	Compound1039
L-Mecambroline	Compound1040
Metoclopramide dihydrochloride	Compound1041
N-Methyl hernangerine	Compound1042
N-Methylhernangerine	Compound1043
n-methylphoebine	Compound1044
O-Methybulbocapnine	Compound1045
stesakine	Compound1046
THALPHENINE	Compound1047
(-)-corydine	Compound1048
(-)-N-acetylanonaine	Compound1049
(+) N-methylcorydine	Compound1050
(+)-boldine	Compound1051
(+)-corydine	Compound1052
(+)-magnoflorine	Compound1053
(2S)-N,N,N-trimethyl tryptophane betabine	Compound1054
(R)-(+)-Propranolol hydrochloride	Compound1055
2-Methyl-6-methoxy-1,2,3,4-tetrahydro--beta-carboline	Compound1056
3,4,5-trimethoxy benzeneethanamine	Compound1057
3,4-Methylenedioxy-3'-methoxybibenzil	Compound1058
4,4'-Dihydroxy-3,5-dimethoxybibenzyl	Compound1059
5,6,6a,7-tetrahydro-2,10-dimethoxy-6-methyl-	Compound1060
6,7-dimethoxy-2-(2-p-methoxyphenylethyl)chromone	Compound1061
Alstomicine	Compound1062
anaxagoreine	Compound1063
anthirine	Compound1064
Apoglaziovine	Compound1065
Caaverine	Compound1066
Cassythidine	Compound1067
corynantheol	Compound1068
Costaclavine	Compound1069
crepidatin	Compound1070
Diangoutengjian	Compound1071
dihydrocorynantheol	Compound1072
Dihydrositsirikine	Compound1073
dl-Nuciferine	Compound1074
erythro-austrobailignan-6	Compound1075
Hernandine	Compound1076
Lindechunine B	Compound1077
Lirinidine	Compound1078
lysegrol	Compound1079
magnofl,orinea	Compound1080
magnoflorin	Compound1081
Magnolflorine	Compound1082
Magnosprengerine	Compound1083
N(4)-Methyl-N(4),21-seco-talpinin	Compound1084
N,N-Dimethyl-L-tryptophan	Compound1085
N,N-Dimethyltryptamine-methohydroxide	Compound1086
N-Acetylxylopine	Compound1087
Nb-Methyltetrahydroharman	Compound1088
Nb-Methyltetrahydroharmol	Compound1089
norglaucine	Compound1090
norglaucing	Compound1091
norisoboldine	Compound1092
N-trans-feruloyl-3-methoxytyramine-4'-O-  -D-glucose	Compound1093
Ocokryptine	Compound1094
O-Nornuciferine,N-Methylasimilobine	Compound1095
Peraksine	Compound1096
Romucosine H	Compound1097
ST057701	Compound1098
Thalicmine	Compound1099
Violyedoenamide	Compound1100
1-(5,7,8-trimethoxy-2,2-dimethylchromen-6-yl)ethanone	Compound1101
12a-Epimillettosin	Compound1102
3-O-Methylpaeonisuffral	Compound1103
4'-hydroxypaeoniflorigenone	Compound1104
5-(2-hydroxyphenoxymethyl) furfura	Compound1105
5,7-dihydroxy-6,8-dimethyl-3-(4'-hydroxy-3'5'-dimethoxybenzyl)chroman-4-one	Compound1106
5-Hydroxy-6-isobutyryl-7-methoxy-2,2-dimethylbenzopyran	Compound1107
6-Isobutyryl-5,7-dimethoxy-2,2-dimethylbenzopyran	Compound1108
6-o-vanillyoxypaeoniflorin_qt 2	Compound1109
7,30-dihydroxy-5,40,50-trimethoxyisoflavone	Compound1110
7-Hydroxy-6-isobutyryl-5-methoxy-2,2-dimethylbenzopyran	Compound1111
Cryptoquinone	Compound1112
Desmethylagrimonolide	Compound1113
galloyl-oxypaeoniflorin_qt 2	Compound1114
Glabroisoflavanone A	Compound1115
Glabroisoflavanone B	Compound1116
mudanpioside-h_qt 2	Compound1117
oxypaeoniflorin deglycosylation	Compound1118
polygalatenosides D	Compound1119
1-epi-nambinone B	Compound1120
2,5-Methanocyclopenta-1,3-dioxin-7-ol	Compound1121
Canusesnol C	Compound1122
indicumenone	Compound1123
Isodalbergin	Compound1124
lucidone B	Compound1125
nambinone B	Compound1126
O-Methyldalbergin	Compound1127
sedanoic-acid	Compound1128
Sedanonic acid	Compound1129
Stevein	Compound1130
(2S)-4',7-Dihydroxy-3'-methoxyflavan	Compound1131
(2s)-6,7,4-trihydroxyflavan	Compound1132
(2S,3R)-2-(3,4-dimethoxyphenyl)-5,7-dimethoxychroman-3-ol	Compound1133
2-(2,4-dimethoxyphenyl)-3-hydroxy-7-methoxy-chromone	Compound1134
3',7-Dihydroxy-4'-methoxy-8-methylflavan	Compound1135
3',7-Dihydroxy-4'-methoxyflavan	Compound1136
3-hydroxy-5,7-dimethoxy-3  ,4  -methylenedioxyflavan	Compound1137
4',7-Dihydroxy-3'-methoxyflavan	Compound1138
5,2'-dihydroxy-7,8,6'-trimethoxyflavone	Compound1139
5-Hydroxy-7,2',3'-trimethoxyflavone	Compound1140
5-hydroxy-7,8,2',6'-tetramethoxyflavonoid	Compound1141
5-hydroxy-7,8,2'-trimethoxyflavone	Compound1142
6,7,8-trimethoxy-5,2'-dihydroxyflavone	Compound1143
7,3'-Dihydroxy-4'-methoxy-8-methylflavan	Compound1144
8-Hydroxy-5,7,4'-trimethoxyflavone	Compound1145
Arachidoside	Compound1146
Tupichinol A	Compound1147
Tupichinol B	Compound1148
1,2-dimethoxy-3-hydroxyanthraquinone	Compound1149
1,3-Dihydroxy-6-metboxy-7-methyl-anthraquinone	Compound1150
1,4-dihydroxy-2-methoxy-7-methylanthracenequinone	Compound1151
1,4-Dimethoxy-2-hydroxyanthraquinone	Compound1152
1,5,7-trihydroxy-6-methoxy-2-methoxymethylanthracenequinone	Compound1153
1,5-Dihydroxy-3-metboxy-7-methyl-anthraquinone	Compound1154
1,6-Dihydroxy-2,4-dimethoxyanthranquinone V	Compound1155
10-Amino-2,4-dimethoxyphenanthrene-1-carboxylic acid lactam	Compound1156
1-Hydroxy-3-methoxy-2-methylanthraquinone	Compound1157
1-Hydroxy-5-methoxy-2-methylanthraquinone	Compound1158
1-hydroxy-7-methoxy-3-methyl-anthraquinon	Compound1159
1-hydroxy-8-methoxy-3-methylanthraquinone	Compound1160
1-O-methyl-2-methoxychrysophanol	Compound1161
2,3-dimethoxy-6-methyanthraquinone	Compound1162
2,4-dihydroxy-3,5,6-trimethylmethylbenzoate	Compound1163
2,5-Dimethyl-7-hydroxy chromone	Compound1164
2,6-dihydroxy-1-methoxy-3-methylanthraquinone	Compound1165
2-hydroxy-1,6,7,8-tetramethoxy-3-methyl-anthraquinone	Compound1166
2-hydroxy-1-methoxy-3-methylanthraquinone	Compound1167
4,6,7-trimethoxy-5-methylcoumarin	Compound1168
4,7-dimethoxy-5-methylcoumarin	Compound1169
4-hydroxymethyl-1,3-dimethoxyanthracenequinone	Compound1170
6,8-dihydroxy-1,2,7-trimethoxy-3-methylanthraquinone	Compound1171
6-Hydroxy-anthragallol-1,3-dimethylether	Compound1172
6-Methoxy-aristololactam	Compound1173
7-Hydroxy-4-methoxy-5-methylcoumarin	Compound1174
8-Methoxylchrysophanol	Compound1175
9-methoxychrysophanol	Compound1176
Anthragallol-1,3-dimethylether	Compound1177
aristolactam B	Compound1178
Aristolactam B II	Compound1179
Benzyl-2  -O-D-glucopyranosyl-3,6-dimethoxybenzoate	Compound1180
ethyl orsellinate	Compound1181
Gonioffithine	Compound1182
Juzunal	Compound1183
Morindone-5-methylether	Compound1184
N-Demethyldoryphornine	Compound1185
Physcion-9-O-beta-D-glucopyranoside deglycosylation	Compound1186
Piperolactam B	Compound1187
Piperolactam C	Compound1188
Piperolactam D	Compound1189
Rhynchotechol V	Compound1190
Robustaquinone A	Compound1191
Robustaquinone C	Compound1192
Robustaquinone D	Compound1193
Robustaquinone E	Compound1194
Robustaquinone H	Compound1195
rubiadin 1-methyl ether	Compound1196
Rubiawallin B	Compound1197
2'-Hydroxy-5,7,8-Trimethoxyflavone	Compound1198
5,2',6'-Trihydroxy-7,8-dimethoxyflavone	Compound1199
5,2'-dihydroxy-7,8-dimethoxyflavone	Compound1200
5,7,8,2'-Tetramethoxyflavonoids	Compound1201
7,2'-dihydroxy-5,8-dimethoxyflavone	Compound1202
Rexigen	Compound1203
(-)-Caryachine	Compound1204
(-)-Munitagine	Compound1205
(+)-Corybulbine	Compound1206
(+)-Corydaline	Compound1207
(+)-Isocaryachin	Compound1208
(1R)-6,7-dimethoxy-1-(4-methoxybenzyl)-2-methyl-3,4-dihydro-1H-isoquinoline	Compound1209
(1S)-1-(4-hydroxybenzyl)-2-methyl-3,4-dihydro-1H-isoquinoline-6,7-diol	Compound1210
(S)-trans-Cyclanoline	Compound1211
(S)-trans-N-Methyltetrahydrocolumbamine	Compound1212
Allopseudococain	Compound1213
Berbithine	Compound1214
Capauridine	Compound1215
Capaurimine	Compound1216
caseanidine	Compound1217
Clarkeanidine	Compound1218
corybulbine	Compound1219
Cupreine	Compound1220
Cyclanoline	Compound1221
d-(+)-THP	Compound1222
demethylcorydalmatine	Compound1223
Dihydrotaxilamine	Compound1224
dl-Caryachine	Compound1225
Epiqunine	Compound1226
isocorybulbine	Compound1227
Juzirine	Compound1228
Kikemanine	Compound1229
l-(-)-THP	Compound1230
N-Demethylphyllocryptine	Compound1231
Ormosanine	Compound1232
Palaudine	Compound1233
Pectenine	Compound1234
Quinidine sulfate dihydrate	Compound1235
QUININE HEMISULFATE	Compound1236
rac-tetrahydropalmatine	Compound1237
Rericuline	Compound1238
Steponine	Compound1239
S-trans-N-methyltetrahydrocolumbamine	Compound1240
tetrahydrojatrorrhizine	Compound1241
tetrahydroprotopapaverine	Compound1242
Turcomanine	Compound1243
Yuanhunine	Compound1244
(  )-Anabasine	Compound1245
Epipachysamine F	Compound1246
Pachysamine A	Compound1247
Turconidine	Compound1248
(-)-anagyrine	Compound1249
(-)-baptifoline	Compound1250
(+)-sophoramine	Compound1251
7,7a,8,9,10,11,13,14-octahydro-9-hydroxy-	Compound1252
9alpha-Hydroxysophoramine	Compound1253
9-alpha-Hydroxysophoramine	Compound1254
Isolobelanine	Compound1255
Neocauline A	Compound1256
Neocauline B	Compound1257
Stemona alkaloid	Compound1258
(1-Oxo-3-phenyl-2E-propenyl)pyrrolidine	Compound1259
13-methyldehydrocorydalmine	Compound1260
13-methylpalmatrubine	Compound1261
14--beta-Hydroxy-3-isorauniticine	Compound1262
1-hydroxy-2,3,5-trimethoxyketone	Compound1263
2,3,9,12-tetrame thoxyprotoberberine	Compound1264
6-beta-Hydroxyhuperzine A	Compound1265
6  ,8  -dihydroxylycopodine	Compound1266
Apetalic acid	Compound1267
Apetalic acid 5-O-acetate	Compound1268
Apetalic acid methyl ester	Compound1269
beta-Rotunol	Compound1270
Corydamine	Compound1271
crinumaquine	Compound1272
dehydrocheilanthifoline	Compound1273
dehydrocorybulbine	Compound1274
dehydrodiscretamine	Compound1275
eudesm-4(15),7-diene-11-ol-9-one	Compound1276
Gramine methohydroxide	Compound1277
Illudins I	Compound1278
Inophynone	Compound1279
Isoinophynone	Compound1280
JATRORRHIZINE HCL(RG)	Compound1281
Lycoposerramine L	Compound1282
nardochinone A	Compound1283
nardochinone B	Compound1284
Oxyborberine	Compound1285
Palmatine hydroxide	Compound1286
Pseudopalmatine methyl nitrate	Compound1287
Rauvanine	Compound1288
Sanggenon F	Compound1289
sarmentol F	Compound1290
toxicarol isoflavone	Compound1291
yatrorizine	Compound1292
Zingiberenol	Compound1293
zingiberol	Compound1294
  -copaene-8-ol	Compound1295
  -costol	Compound1296
  -Rotunol	Compound1297
1,2-diethyl-3-methylcyclohexylamine	Compound1298
1,5-diethyl-2,3-dimethylcyclohexylamine	Compound1299
1-isobutyl-2,5-dimethylcyclohexylamine	Compound1300
20-Epi-19,20-dihydro-decarbomethoxy vobasine	Compound1301
Cnidium lactone	Compound1302
Cyclic (L-phenylpropan-L-tyrosine)-dipeptide	Compound1303
Cyclo-(Phe-Tyr)	Compound1304
N-oxide matrine	Compound1305
(-)-alpha-N-methylcanadine	Compound1306
(-)-N-Demethylcrychine	Compound1307
(1R)-6-methoxy-1,2-dimethyl-3,4-dihydro-1H-isoquinolin-7-ol	Compound1308
(S)-cis-N-methylstylopine	Compound1309
1-Methyl-corypalline	Compound1310
3-Epifortuneine	Compound1311
6-methoxy-kynurenic acid	Compound1312
Bemumicine	Compound1313
Bemumidine	Compound1314
Bernumine	Compound1315
caulophylluminesB	Compound1316
Cheryline	Compound1317
d-(+)-THB	Compound1318
Datumetine	Compound1319
ephedralone	Compound1320
Erysopine	Compound1321
Fortuneine	Compound1322
Intebrimine	Compound1323
l-tetrahyrocoptisine	Compound1324
Neocaryachine	Compound1325
N-Methyl-corypalline	Compound1326
tetrahydrocoptisine	Compound1327
Tetrahydrocorysamine	Compound1328
Tetrahyrocoptisine	Compound1329
Turcamine	Compound1330
  -Bisabolol	Compound1331
3'-methylorobol	Compound1332
4',7,8-Trimethoxyisoflavone	Compound1333
4,7'-dimethoxyisoflavone	Compound1334
4'-Hydroxy-7-Methoxy Isoflavone	Compound1335
5,7,3'-trihydroxy-5'-methoxylisoflavone	Compound1336
5,7-dihydrox-4'-methoxyisoflavone	Compound1337
5,7-dihydroxy-3-(4-hydroxy-3-methoxyphenyl)-6-methoxy-4H-chromen-4-one	Compound1338
5-hydroxy-6,7-dimethoxy-3-(4-methoxyphenyl)-4h-chromen-4-one	Compound1339
5-O-methylgenistein	Compound1340
6-hydroxy-3-(4-hydroxyphenyl)-5,7-dimethoxy-chromone	Compound1341
7,3'-dihydroxy-5'-methoxyisoflavone	Compound1342
7,4  -Dihydroxy-8-methoxy Isoflavone	Compound1343
7-hydroxy-3',4'-dimethoxyisoflavone	Compound1344
8,4'-dihydroxy-7-methoxyisoflavone	Compound1345
8-hydroxy-7,4'-dimethoxyisoflavone	Compound1346
Anticancer Flavonoid PMV70P691-94	Compound1347
belamcandin	Compound1348
calycosin isoflavone	Compound1349
cladrastin	Compound1350
ergonorine	Compound1351
formonoetin	Compound1352
gliricidin	Compound1353
Isopenniclavine	Compound1354
Pallidiflorin	Compound1355
Penniclavine	Compound1356
(2R,3R)-3,4  ,7-trihydroxy-3  -prenylflavane	Compound1357
6,7-Defydroartemisinic acid	Compound1358
phellodensin-A	Compound1359
(-)-(7R,7'R,8S,8'S)-4,4'-dihydroxy-3-methoxy-7,9'-9,7'-diepoxylignan	Compound1360
(-)-Amarbellisine	Compound1361
(-)-aptosimon	Compound1362
(-)-Chicanine	Compound1363
(-)-dihydrosesamin	Compound1364
(-)-epipinoresinol	Compound1365
(-)-Fargesol	Compound1366
(-)-methylpiperitol	Compound1367
(-)-Phillygenin	Compound1368
(+)-1-hydroxy-6-epipinoresinol	Compound1369
(+)-1-hydroxylpinoresinol	Compound1370
(+)-1-Hydroxypinoresinol	Compound1371
(+)-1-hydroxysyringaresinol	Compound1372
(+)-5'-Demethoxyepiexcelsin	Compound1373
(+)-Epiexcelsin	Compound1374
(+)-Epipinoresinol	Compound1375
(+)-Fraxiresinol	Compound1376
(+)-Galbacin	Compound1377
(+)-Lirioresinol A	Compound1378
(+)-Medioresinol di-O-beta-D-glucopyranoside deglycosylation	Compound1379
(+)-pinoresinol monomethyl ether	Compound1380
(+)-pinoresinol monomethyl ether-4-D-beta-glucoside deglycosylation	Compound1381
(+)-Pionresinol	Compound1382
(+)-piperitol	Compound1383
(+)-saururinone	Compound1384
(+)-syringare sinol	Compound1385
(  )-Galgravin	Compound1386
(  )-Syringaresinol	Compound1387
(7,8-cis-8,8'-trans)-2,4-dihydroxy-3,5-dimethoxy-lariciresinol	Compound1388
(8R)-8-Acetoxypatchoulol	Compound1389
1-(2,4-dihydroxy-6-methoxyphenyl)ethanone	Compound1390
1,2,3,7-tetramethoxy xanthone	Compound1391
1,3,6,7-tetramethoxyxanthone	Compound1392
1,4-Dimethoxy-2,3-dimethylbenzene	Compound1393
10-hydroxycroomine	Compound1394
1-10 asarinin	Compound1395
1-4methylbenzene	Compound1396
1-Bromo-2-methoxynaphthalene	Compound1397
1-Syringaresinol	Compound1398
2,3,5-Trimethoxytoluene	Compound1399
2,3-Dihydroxymethyl-4-(3',4'-dimethoxyphenyl)-gamma-butyrolactone	Compound1400
2',4'-dihydroxy-4-methoxydihydrochalcone	Compound1401
2,4-Dihydroxy-6-methoxy-3-methylacetophenone	Compound1402
2-Methoxy-4-vinylphenol deglycosylation	Compound1403
3-(alpha,4-Dihydroxy-3-methoxybenzyl)-4-(hydroxy-3-methoxybenzyl) tetrahydrofuran	Compound1404
3,4,5-Trimethoxy-benzyl alcohol	Compound1405
3',4'-methylenedioxy-3,4,5,5'-tetramethoxy-7,7'-epoxylignan	Compound1406
3,4-methylenedioxyphenylpropiophenone	Compound1407
3,5,6,7-Tetrahydro-3,3,4,5,5,8-hexamethyl-s-indacen-1(2H)-one	Compound1408
3',6-Dihydroxy-2,4,4'-trimethoxybenzophenone	Compound1409
4,2',4'-Trihydroxy-6'-methoxydihydrochalcone	Compound1410
4,4'-((2R,3R,4S,5S)-tetrahydro-3,4-dimethyl-2,5-furandiyl)bis(2-methoxy-	Compound1411
4'-Hydroxy-2,6-dimethoxydihydrochalcone	Compound1412
4-Hydroxy-2',6'-dimethoxydihydrochalcone	Compound1413
4'-hydroxyl-3,3',4,5,5'-pen-tamethoxy-7,7'-epoxylignan	Compound1414
4-ketopinol ester	Compound1415
4-ketopinores	Compound1416
4-methoxy-1H-quinolin-2-one	Compound1417
4-O-demethylforsythenin	Compound1418
4  ,8  -dihydroxylycopodine	Compound1419
5,6,7,8-Tetramethoxycoumarin	Compound1420
5-hydroxy-6,8-dimethoxycoumarin	Compound1421
5'-medioresinol	Compound1422
5-Methoxy-6,7-methylene-dioxy coumarin	Compound1423
5-methoxydictamnine	Compound1424
6,3'-Dihydroxy-2,4-dimethoxybenzophenone	Compound1425
6,7,8-Trimethoxy-2H-1-benzopyran-2-one	Compound1426
6,8-dihydroxy-1,2,3-trimethyoxyxanthone	Compound1427
6-Hydroxy-1,2,3,7-tetramethoxyxanthone	Compound1428
6-Methoxy dictamnine	Compound1429
7,8-dimethoxycoumarin	Compound1430
7'-epi-8-hydroxypinoresinol	Compound1431
7-Hydroxy-8-methoxyecoumarin	Compound1432
7-Hydroxyhinokinin	Compound1433
7-Hydroxyyatein	Compound1434
8-hydroxy pinoresinol	Compound1435
8-Hydroxy-5,6,7-trimethoxycoumarin	Compound1436
8-hydroxy-medioresinol	Compound1437
8-hydroxypinoresinal	Compound1438
8-methoxy-medioresinol	Compound1439
8-oxypalmatine	Compound1440
8  -hydroxylycodoline	Compound1441
9a-Hydroxy-d-sesamin	Compound1442
9  -hydroxy pinoresinol	Compound1443
9  -Hydroxypinoresinol	Compound1444
Annocherine A	Compound1445
Annocherine B	Compound1446
Anticancer Flavonoid PMV70P691-101	Compound1447
Anticancer Lignan PMV70P691-124	Compound1448
Arnebianoid	Compound1449
Aschantin	Compound1450
austrobailignan 7	Compound1451
balanophonin B	Compound1452
beta-Obscurine	Compound1453
Biondinin B	Compound1454
Caruilignan B	Compound1455
Caruilignan D	Compound1456
Clavatine	Compound1457
Clemaphenol A	Compound1458
Desaspidinol-A	Compound1459
Diepoxy forsythia lactone	Compound1460
Di-O-methyltetrahydrofuriguaiacin B	Compound1461
d-Pinoresinol	Compound1462
engelheptanoxide A	Compound1463
engelheptanoxide C	Compound1464
Epipineol	Compound1465
erysotine	Compound1466
Evodiamide	Compound1467
Forsythenside B	Compound1468
FORSYTHINOL	Compound1469
fragransin A2	Compound1470
fragransin B1	Compound1471
fragransin B2	Compound1472
fragransin B3	Compound1473
fragransin C1	Compound1474
fragransin C2	Compound1475
fragransin C3A	Compound1476
fragransin C3B	Compound1477
fragransin D1	Compound1478
fragransin D2	Compound1479
fragransin D3	Compound1480
galbacin	Compound1481
Genkdaphin	Compound1482
graminone A	Compound1483
homoegonol	Compound1484
Hydroxyforsythiaside	Compound1485
iso-Nectandrin B	Compound1486
Isopaulownin	Compound1487
Jatamansic acid	Compound1488
Lilifatin A	Compound1489
Lilifatin B	Compound1490
L-Planinin	Compound1491
Lycodoline	Compound1492
machilin,g	Compound1493
mayuenolide	Compound1494
myrrhanolides B	Compound1495
myrrhanolides C	Compound1496
N-(2-Methylaminobenzoyl)tryptamine	Compound1497
nectandrin A	Compound1498
Neosesamin	Compound1499
Neo-sesamin	Compound1500
N-Methyl huperzine B	Compound1501
n-oxytuberostemonine	Compound1502
O-ethylnor-  -fagarine	Compound1503
Onjixanthone I	Compound1504
parvistemonine	Compound1505
Peganol	Compound1506
Phenylpropyl acetate	Compound1507
pinoresinol diMethyl ether	Compound1508
Plillygenin	Compound1509
Pluviine	Compound1510
Pseudoselagine	Compound1511
Pterosin N	Compound1512
Pterosin Z	Compound1513
rel-( 8R,8  R)-dimethyl-( 7S,7  R)-bis( 3,4-methylenedioxy-phenyl) tetrahydro-furan	Compound1514
salicifoliol	Compound1515
saucerneol K	Compound1516
saucernetindiol	Compound1517
Sesaminone	Compound1518
sessilistemonamine D	Compound1519
Stemonine	Compound1520
stemospironine	Compound1521
styraxin	Compound1522
syringaresinol	Compound1523
tetrahydroreticuline	Compound1524
tuberospironine	Compound1525
Urinaligran	Compound1526
Uvangoletin	Compound1527
verrucosin	Compound1528
Zhebeiresinol	Compound1529
Zheberiesinol	Compound1530
  -Herbertenol	Compound1531
  -Obscurine	Compound1532
1-(4-Hydroxybenzoyl)-7-hydroxy-6-methoxyisoquinoline	Compound1533
Tanshinone  A	Compound1534
(-)-Guaia-1(10),11-dien-15-ol	Compound1535
(-)-Guaia-1(11),11-dien-15-al	Compound1536
(-)-guaia-l(10),11-dien-15-ol	Compound1537
(+)  -Cadinen-12,14-diol	Compound1538
(3R)-5,7- dihydroxy-3-(4-hydroxybenzyl)-6-methylchroman-4-one	Compound1539
(3R)-5,7-dihydroxy-3-(4-hydroxybenzyl)-6,8-dimethylchroman-4-one	Compound1540
(E)-3',4'-Dimethoxycinnamyl alcohol	Compound1541
(Z)-1,2,4-trimethoxy-5-(1-propenyl)-benzene	Compound1542
(Z)-1beta-hydroxy-2-hydrolanceol	Compound1543
14  ,18-dihydroxy-7,15-isopimaradiene	Compound1544
2,5-dihydroxy-l-methoxyanthraquinone	Compound1545
2,6-dimethoxy-4-prop-1-enylphenol	Compound1546
2  -O-Methylabronisoflavone	Compound1547
2-hydroxy-1-methoxyan-thraquinone	Compound1548
3,3',4'-Trimethoxyquercetin	Compound1549
4-(3,4-Dimethoxyphenyl)-but-1,3-diene	Compound1550
4,8,13-duvatriene-1,3-diol	Compound1551
4-vinylsyringol	Compound1552
5,7-dihydroxy-3-(2-hydroxy-4-methoxybenzyl)-6,8-dimethylchroman-4-one	Compound1553
